利用日	利用店名・商品名	利用者	支払方法	利用金額	支払手数料	支払総額	3月支払金額	4月繰越残高	新規サイン	レシートチェック
2025/2/28	OPENAI *CHATGPT SUBS利用国US	本人	1回払い	3378	0	3378	3378	0	*	FALSE
	現地利用額　　　　　　　　２２．０００変換レート　１５３．５４６円									FALSE
2025/2/27	ニトリ	本人	1回払い	3980	0	3980	3980	0	*	TRUE
2025/2/22	SPOTIFY P34459EEE7利用国SE	本人	1回払い	1280	0	1280	1280	0	*	FALSE
	現地利用額　　　　　　１２８０．０００変換レート　　　１．０００円									FALSE
2025/2/21	GOOGLE GOOGLE ONE	本人	1回払い	250	0	250	250	0	*	FALSE
2025/2/20	ﾏｲｸﾛｿﾌﾄ	本人	1回払い	229	0	229	229	0	*	FALSE
2025/2/16	ｽｼﾛ-	本人	1回払い	7190	0	7190	7190	0	*	TRUE
2025/2/15	ＮＨＫ放送受信料（継続払）	本人	1回払い	21765	0	21765	21765	0	*	FALSE
2025/1/26	ＥＮＥＯＳ－ＳＳ	本人	1回払い	6800	0	6800	6800	0	*	TRUE
